county,region
Charlotte,Southwest 
Collier,Southwest 
DeSoto,Southwest 
Glades,Southwest 
Hardee,Southwest 
Hendry,Southwest 
Highlands,Southwest 
Lee,Southwest 
Manatee,Southwest 
Okeechobee,Southwest 
Polk,Southwest 
Sarasota,Southwest 
Alachua,Northeast
Baker,Northeast
Bradford,Northeast
Clay,Northeast
Columbia,Northeast
Dixie,Northeast
Duval,Northeast
Gilchrist,Northeast
Hamilton,Northeast
Lafayette,Northeast
Levy,Northeast
Madison,Northeast
Nassau,Northeast
Putnam,Northeast
St. Johns,Northeast
Suwannee,Northeast
Taylor,Northeast
Union,Northeast
Bay,Northwest
Calhoun,Northwest
Escambia,Northwest
Franklin,Northwest
Gadsden,Northwest
Gulf,Northwest
Holmes,Northwest
Jackson,Northwest
Jefferson,Northwest
Leon,Northwest
Liberty,Northwest
Okaloosa,Northwest
Santa Rosa,Northwest
Wakulla,Northwest
Walton,Northwest
Washington,Northwest
Broward,Southeast
Indian River,Southeast
Martin,Southeast
Palm Beach,Southeast
St. Lucie,Southeast
Brevard,Central
Flagler,Central
Lake,Central
Marion,Central
Orange,Central
Osceola,Central
Seminole,Central
Sumter,Central
Volusia,Central
Miami-Dade,South
Monroe,South
Citrus,West Central 
Hernando,West Central 
Hillsborough,West Central 
Pasco,West Central 
Pinellas,West Central 
